"Subject","Land: Dual Task","Land: Single Task","Water: Dual Task","Water: Single Task"
"01",59.6099317414756,56.4712363534745,59.8546423257569,57.7154911200554
"02",61.6875254205771,60.6395497367085,60.1487411162197,62.7080830948191
"03",58.8556900228707,57.3318799719541,NA,NA
"04",54.450246463676,53.2578263186332,56.0329813566464,57.1841615494402
"05",53.3093099649618,52.354838393352,57.4214323526758,53.8017025097528
"06",51.0247705803372,48.7983452436003,52.842481774168,53.0804999710929
"07",54.0339230108175,54.7115595240941,60.1800534837977,57.7985059202507
"08",58.2243645524833,57.7789213005746,52.36247007257,51.8083824967906
"09",57.5287975021015,58.734866269007,57.4138589111364,51.5670919048748
"10",60.590922655567,52.3839697016106,54.6343018837453,51.7275066829145
"11",60.0960421609879,61.110980707637,62.1166355691354,58.6476454843368
"12",56.9621014460918,53.4251734846084,53.9842704799462,49.5230379606985
"13",58.6783943111392,55.9632173540048,56.9178921497517,55.4990618349392
"14",60.5375178605151,63.0234851256369,62.9472029161899,56.1574457977496
"15",62.2518333395256,53.141351821466,53.1377638807323,59.2152250634945
"16",61.0303516792006,60.2194031656538,57.521323819434,62.0609372171733
"17",58.4756710634627,57.1512777293892,57.7352436601574,59.5971245865432
"18",55.519795069274,57.1433057059828,53.3530350028132,59.727774504928
"19",60.0603065944232,54.5928116906922,57.0662162779929,60.9317629092354
"20",58.2254128712536,54.322419003936,NA,56.0775729038905
"21",55.2529438562721,56.1841778188955,53.6140633336035,56.5869476001577
