"Subject","Land: Dual Task","Land: Single Task","Water: Dual Task","Water: Single Task"
"01",1.64137779043147,1.55700584824909,1.6166352498158,1.68584834164028
"02",1.81579361905816,1.76822713241891,1.86072304989074,1.8579266632807
"03",1.7263227602772,1.76064898051683,NA,NA
"04",1.59010262655012,1.66152171745459,1.64067252389297,1.66857282743051
"05",1.67735003107645,1.64181979874756,1.57661462277651,1.59705219840385
"06",1.5129286632336,1.41052761029536,1.60326047029542,1.55979694064799
"07",1.61262845765074,1.68637058017754,1.79598238056483,1.67540746857236
"08",1.77520111105402,1.72770481988122,1.57123492522977,1.51526202262078
"09",1.63254115095452,1.6190841313023,1.7073202249905,1.6551617465121
"10",1.63911066367049,1.68420671584295,1.61747052881191,1.54899118207265
"11",1.82140329891771,1.74587945949368,1.74236886366134,1.79727495462257
"12",1.65034079354156,1.44680400521646,1.72211539613839,1.4452836494162
"13",1.63527483542943,1.60832713439601,1.58179716290335,1.67897964191864
"14",1.73400317284209,1.85630076218206,1.73480139996952,1.61271722436663
"15",1.73257244367383,1.56468514072204,1.57183861906106,1.66020651658217
"16",1.53475324776045,1.65488438223119,1.53636886559251,1.61128104991565
"17",1.65965859520446,1.77187101526736,1.71280422763422,1.72674443593469
"18",1.5251848025307,1.67217434874942,1.5149522500092,1.74033709938378
"19",1.59477551818558,1.48156889270234,1.62070241302755,1.70075227363331
"20",1.5638972918817,1.6666833627107,NA,1.70352582694787
"21",1.66324538362315,1.44893800465938,1.6915573865733,1.44761557521819
