"Subject","Land: Dual Task","Land: Single Task","Water: Dual Task","Water: Single Task"
"01",44.7345006239014,46.5162298654171,45.2041698492472,47.6329604290587
"02",38.7574142456585,34.4649961462288,26.7754135982575,31.1803208512424
"03",52.2120079507315,53.6486996827774,NA,NA
"04",44.6341765439067,42.5566388786426,50.209571191145,51.8261495412509
"05",50.8505537198929,45.1495295567606,48.1570394445694,55.9146892710686
"06",44.8375086952835,41.7898264750774,38.7463250567205,36.0970379147004
"07",49.1136027157417,45.7089684327721,41.7367341853322,35.565105738919
"08",55.2479764286095,51.0908971055563,55.662861211071,52.1765025836002
"09",44.6950533702873,43.7901563965645,42.7243686195157,29.0709003992451
"10",50.9445025383644,35.6010542402684,44.405319445945,49.2831406230211
"11",36.602435674639,46.6778367012428,52.6939479422104,52.6994119143829
"12",16.0358603504624,31.3521505210875,35.0411583754044,25.5368104185628
"13",30.7816952296495,45.717839950473,38.2148476539292,49.1217385628428
"14",54.4785894954392,44.7218444257415,51.5657386638411,38.606825790886
"15",50.7584235247666,51.0863055563093,42.6222760281763,37.8473781625111
"16",48.3808517936844,47.4522404568778,43.0505003601459,43.2454253050275
"17",55.6633926787448,54.4125070819787,57.694808414173,55.2373733129235
"18",30.4126850745996,48.5596572925499,46.1089686335825,59.3511329667239
"19",28.3618263966544,31.7282162683652,47.4960533460365,42.9878542990508
"20",44.4332342493542,45.3880553705783,NA,44.6551449976675
"21",27.1309471295738,31.2679795128293,28.4318465297616,33.1307603141543
